Processing pages 0-90 of 90...
Output directory: ../ocr_outputs/final_processed
Processing page 1/90... ✓ (36 lines, 0 fixes)
Processing page 2/90... ✓ (14 lines, 0 fixes)
Processing page 3/90... ✓ (26 lines, 0 fixes)
Processing page 4/90... ✓ (12 lines, 0 fixes)
Processing page 5/90... ✓ (36 lines, 0 fixes)
Processing page 6/90... ✓ (16 lines, 0 fixes)
Processing page 7/90... ✓ (35 lines, 1 fixes)
Processing page 8/90... ✓ (31 lines, 0 fixes)
Processing page 9/90... ✓ (35 lines, 0 fixes)
Processing page 10/90... ✓ (41 lines, 0 fixes)
Processing page 11/90... ✓ (37 lines, 1 fixes)
Processing page 12/90... ✓ (37 lines, 1 fixes)
Processing page 13/90... ✓ (37 lines, 1 fixes)
Processing page 14/90... ✓ (34 lines, 0 fixes)
Processing page 15/90... ✓ (39 lines, 0 fixes)
Processing page 16/90... ✓ (38 lines, 0 fixes)
Processing page 17/90... ✓ (42 lines, 1 fixes)
Processing page 18/90... ✓ (42 lines, 0 fixes)
Processing page 19/90... ✓ (41 lines, 1 fixes)
Processing page 20/90... ✓ (32 lines, 1 fixes)
Processing page 21/90... ✓ (38 lines, 0 fixes)
Processing page 22/90... ✓ (39 lines, 1 fixes)
Processing page 23/90... ✓ (43 lines, 0 fixes)
Processing page 24/90... ✓ (40 lines, 2 fixes)
Processing page 25/90... ✓ (48 lines, 0 fixes)
Processing page 26/90... ✓ (40 lines, 0 fixes)
Processing page 27/90... ✓ (35 lines, 2 fixes)
Processing page 28/90... ✓ (82 lines, 0 fixes)
Processing page 29/90... ✓ (42 lines, 1 fixes)
Processing page 30/90... ✓ (43 lines, 1 fixes)
Processing page 31/90... ✓ (40 lines, 0 fixes)
Processing page 32/90... ✓ (36 lines, 2 fixes)
Processing page 33/90... ✓ (38 lines, 2 fixes)
Processing page 34/90... ✓ (37 lines, 1 fixes)
Processing page 35/90... ✓ (38 lines, 2 fixes)
Processing page 36/90... ✓ (39 lines, 1 fixes)
Processing page 37/90... ✓ (44 lines, 0 fixes)
Processing page 38/90... ✓ (40 lines, 0 fixes)
Processing page 39/90... ✓ (37 lines, 0 fixes)
Processing page 40/90... ✓ (34 lines, 0 fixes)
Processing page 41/90... ✓ (37 lines, 0 fixes)
Processing page 42/90... ✓ (39 lines, 2 fixes)
Processing page 43/90... ✓ (37 lines, 0 fixes)
Processing page 44/90... ✓ (40 lines, 2 fixes)
Processing page 45/90... ✓ (39 lines, 2 fixes)
Processing page 46/90... ✓ (36 lines, 0 fixes)
Processing page 47/90... ✓ (40 lines, 1 fixes)
Processing page 48/90... ✓ (39 lines, 2 fixes)
Processing page 49/90... ✓ (40 lines, 2 fixes)
Processing page 50/90... ✓ (23 lines, 1 fixes)
Processing page 51/90... ✓ (35 lines, 2 fixes)
Processing page 52/90... ✓ (39 lines, 0 fixes)
Processing page 53/90... ✓ (39 lines, 2 fixes)
Processing page 54/90... ✓ (37 lines, 1 fixes)
Processing page 55/90... ✓ (32 lines, 0 fixes)
Processing page 56/90... ✓ (28 lines, 0 fixes)
Processing page 57/90... ✓ (37 lines, 1 fixes)
Processing page 58/90... ✓ (40 lines, 0 fixes)
Processing page 59/90... ✓ (34 lines, 0 fixes)
Processing page 60/90... ✓ (35 lines, 1 fixes)
Processing page 61/90... ✓ (32 lines, 0 fixes)
Processing page 62/90... ✓ (38 lines, 0 fixes)
Processing page 63/90... ✓ (40 lines, 2 fixes)
Processing page 64/90... ✓ (41 lines, 0 fixes)
Processing page 65/90... ✓ (42 lines, 1 fixes)
Processing page 66/90... ✓ (94 lines, 0 fixes)
Processing page 67/90... ✓ (42 lines, 0 fixes)
Processing page 68/90... ✓ (84 lines, 0 fixes)
Processing page 69/90... ✓ (43 lines, 0 fixes)
Processing page 70/90... ✓ (39 lines, 1 fixes)
Processing page 71/90... ✓ (40 lines, 0 fixes)
Processing page 72/90... ✓ (38 lines, 0 fixes)
Processing page 73/90... ✓ (41 lines, 1 fixes)
Processing page 74/90... ✓ (34 lines, 2 fixes)
Processing page 75/90... ✓ (38 lines, 2 fixes)
Processing page 76/90... ✓ (37 lines, 1 fixes)
Processing page 77/90... ✓ (37 lines, 0 fixes)
Processing page 78/90... ✓ (40 lines, 1 fixes)
Processing page 79/90... ✓ (36 lines, 3 fixes)
Processing page 80/90... ✓ (42 lines, 0 fixes)
Processing page 81/90... ✓ (34 lines, 0 fixes)
Processing page 82/90... ✓ (42 lines, 0 fixes)
Processing page 83/90... ✓ (40 lines, 1 fixes)
Processing page 84/90... ✓ (26 lines, 0 fixes)
Processing page 85/90... ✓ (14 lines, 0 fixes)
Processing page 86/90... ✓ (23 lines, 0 fixes)
Processing page 87/90... ✓ (34 lines, 0 fixes)
Processing page 88/90... ✓ (23 lines, 0 fixes)
Processing page 89/90... ✓ (20 lines, 0 fixes)
Processing page 90/90... ✓ (43 lines, 0 fixes)

============================================================
Processing complete!
Combined text: ../ocr_outputs/final_processed/all_pages_combined.txt
Report: ../ocr_outputs/final_processed/processing_report.json
============================================================
